term ,acronym,definition,reference,alternative_definition,reference_alternative_definition,status,comment,glossary_reporting,glossary_observers,glossary_TRUEs,glossary_compliance,glossary_science,glossary_mse,glossary_EM,glossary_LL,glossary_PS,glossary_PL,glossary_GN
Discards*,,"All non-retained catch, including individuals released alive or discarded dead",IOTC science glossary,the part of the catch that is not retained on board and is returned at sea,FAO terminology portal,,pick one def? Or keep both,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Doppler current meter,,An acoustic instrument that measures water current velocity and direction by detecting the Doppler shift of reflected sound waves.,Based on - RD Instruments (RDI). (1996). Acoustic Doppler Current Profilers: Principles of Operation - A Practical Primer. Teledyne RD Instruments.,,,To define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Drifting fish aggregating device,DFAD,"Fish aggregating device not tethered to the bottom of the ocean typically composed of a floating structure (such as a bamboo or metal raft with buoyancy provided by buoys, corks, etc.) and of a submerged structure (made of canvass, etc.)",IOTC reporting guidelines glossary,device that is neither anchored nor otherwise attached to the seabed and let adrift,FAO terminology portal,to validate,"IOTC science has another definition: Any 'FAD' which is not anchored to the substratum, but left to drift freely in ocean
Currents.",TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE
Drifting gillnet,,"A gillnet that is not attached to the seabed and is allowed to drift freely with currents, usually at or near the surface, to entangle fish",FAO terminology ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Drifting longline,,"Longline kept near the surface or at a certain depth by means of regularly spaced floats. Drifting longlines may be of considerable length, and the snoods are usually longer and more widely spaced than for the bottom longlines. Some drifting longlines are set vertically, each line hanging from a float at the surface. They are usually worked in groups of several lines operated by a single boat",FAO terminology portal,,,,,TRUE,TRUE,,,,,,TRUE,,,
Driftnet*,,Type of gillnet that is not fixed to the seabed but allowed to drift with the current. Synonym to drift gillnet ,FAO terminology portal,Gillnet suspended by floats so that it fishes the top few metres of the water column,IOTC science glossary,pick one,,,TRUE,,,,,,,,,TRUE
Dropline,,"Fishing line with one or more hooks, held vertically in the water column with weights, generally used on the
continental shelf and slope. Several droplines may be operated by a vessel, manually or mechanically",IOTC science glossary,,,,,,,,,,,,,,,
Echosounder,,Transducer located beneath the hull transmits a sound wave downwards which is reflected on the bottom (echo) to return to the hull and indicate the depth of water. The sound waves are reflected also from fish and can help the captain to spot the schools of fish. The depth on an echo sounder can be measured either in meters (m) or fathoms (fm) ,based on IEC definition (from observer manual),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ecologically sustainable development,,"Using, conserving and enhancing the community's resources so that ecological processes
are maintained and the total quality of life, now and in the future, is improved.",IOTC science glossary,,,,,,,,,,,,,,,
Economic efficiency,,"A fishery is economically efficient when fishery-level efficiency and vessel-level efficiency are achieved,
and management costs are as low as they can be while still providing the necessary level of management. Fishery-level and
vessel-level efficiency mean that effort is restricted to the point where the difference between fishing revenue and cost is greatest,
and fishers are applying that level of effort at least cost.",IOTC science glossary,,,,,,,,,,,,,,,
