term ,acronym,definition,reference,alternative_definition,reference_alternative_definition,status,comment,glossary_reporting,glossary_observers,glossary_TRUEs,glossary_compliance,glossary_science,glossary_mse,glossary_EM,glossary_LL,glossary_PS,glossary_PL,glossary_GN
Leader,,The line for attaching hook to the mainline in longlines. The term is often used in drift longlines for pelagic species such as tunas and swordfish,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Length-frequency distribution; modal size,,"The number of individuals in a catch or catch sample in each group of lengths
(length intervals). The modal size is the length group into which most individuals fall. Some distributions may show several
modes, reflecting fish of different ages.",IOTC science glossary,,,,,,,,,,,,,,,
Length overall,LOA,The maximum length of a vessel measured in a straight line from the foremost point of the bow to the aftermost point of the stern.,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Lift nets,,"A lift net is a horizontal netting panel or bag shaped like a parallelepiped, pyramid or cone with the opening facing upwards which are submerged at a certain depth, left for a while, the time necessary for light or bait to attract fish over the opening",data reference catalogue fishery categories,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Limited entry fishery,,"Fishery in which the fishing effort is controlled by restricting the number of operators. Usually requires
controlling the number and size of vessels, the transfer of fishing rights and the replacement of vessels (c.f. Open access fishery).",IOTC science glossary,,,,,,,,,,,,,,,
Limit reference point,LRP,"A Limit Reference Points indicates the limit beyond which the state of a fishery and / or a resource
is not considered desirable.",IOTC science glossary,,,,,,,,,,,,,,,
Line fishing,,"A general term used for a range of fishing methods that employ fishing lines in one form or another (as opposed to nets and traps). It includes handlines, hand reels, powered reels, pole-and-line, droplines, longlines, trotlines and troll lines",FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Line hauler (branchline),,"A branch line hauler/coiler winds branch lines into tight, uniform coils and assists in quickly recovering and packing branch lines for the next set.",FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Line setter*,,,,,,To define,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Live weight equivalent,,Weight derived from the landed or product weight by the application of certain factors and designed to represent the actual weight of the fishery product as it was taken from the water and before being subjected to any processing or other operations,Eurostat,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
logbook (fishing),,"Official record of catch and effort data made by fishers. In many fisheries, a licence condition makes the
return of logbooks mandatory",IOTC science glossary,,,,,,,,,,,,,,,
Longline,,A fishing gear in which short lines carrying hooks are attached to a longer main line at regular intervals. Longlines are laid on the bottom or suspended horizontally at a predetermined depth with the help of surface floats. The main lines can be as long as 150 km and have several thousand hooks (e.g. in tuna fisheries),FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Longline fisheries,,A fishery undertaken by vessels recorded in the IOTC Record of Authorised Vessels that use a longline gear ,data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Longline section*,,,reference,,,to define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Long-term potential yield,,"Estimate of the largest annual harvest that could be taken sustainably from a fish stock, allowing for
variable environmental conditions. May be estimated in various ways, from taking an average of a time series of historical catches
to using sophisticated mathematical models.",IOTC science glossary,,,,,,,,,,,,,,,
Lower-jaw fork length,,"Length of a fish measured as the distance between the tip of the lower jaw and the point of the fork or ""V"" of the tail. Commonly used to record the length of commercial fish with bills (e.g. swordfish) because it is little affected by damage to the tail fin (c.f. Total length) and bill. Fork length is measured flat, from point to point, not by stretching a tape along the body surface",IOTC glossary,"Length of a fish measured as the distance between the tip of the lower jaw and the point of the fork or
'V' of the tail. Commonly used to record the length of commercial fish with bills (e.g. swordfish) because it is little affected by
damage to the tail fin (c.f. Total length) and bill. Fork length is measured flat, from point to point, not by stretching a tape along
the body surface, which would result in a longer measurement for full-bodied fish like tuna.",IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
M (natural mortality),,"Deaths of fish from all causes except fishing. Usually expressed as an instantaneous rate or as a
percentage of fish dying in a year. See also F (fishing mortality), Mortality.",IOTC science glossary,,,,,,,,,,,,,,,
Magnetic compass,,A navigational instrument that indicates a vessel's heading by aligning a magnetized needle or compass card with the Earth's magnetic field.,IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Mainline,,longline fishing gear consists of a mainline kept near the surface or at a particular depth by means of regularly spaced floats or weights. Branchlines with baited hooks are attached to the mainline at regular intervals,IOTC glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Management objectives,," The social, economic, biological, ecosystem, and conservation goals specified for a given management
unit (e.g. stock).",IOTC science glossary,,,,,,,,,,,,,,,
Management options,, Alternative management procedures from which recommended management actions will be chosen.,IOTC science glossary,,,,,,,,,,,,,,,
Management procedures,,"A set of formal actions, usually consisting of data collection, stock assessment (or other indicators),
and harvest control rules, able to iteratively and adaptively provide robust decisions to manage a fishery.",IOTC science glossary,,,,,,,,,,,,,,,
Management strategy evaluation,MSE,"Procedure whereby alternative management procedures' performance are tested and
compared using stochastic simulations of stock and fishery dynamics against a set of management objectives.",IOTC science glossary,,,,,,,,,,,,,,,
Mate,,The mate is also a ticketed officer second in command to the Captain and is often in charge of the fishing operations on the deck,observer manual 2019,,,,,,TRUE,,,,,,,,,
Maximum economic yield,MEY,"The sustainable catch level for a commercial fishery that allows net economic returns to be
maximised. Note that for most practical discount rates and fishing costs, MEY will imply that the equilibrium stock of fish is
larger than that associated with MSY. In this sense, MEY is more environmentally conservative than MSY and should, in
principle, help protect the fishery from unfavourable environmental impacts that may diminish the fish population.",IOTC science glossary,,,,,,,,,,,,,,,
Maximum sustainable yield,MSY,"The maximum average annual catch that can be removed from a stock over an indefinite
period under prevailing environmental conditions. MSY defined in this way makes no allowance for environmental variability,
and studies have demonstrated that fishing at the level of MSY is often not sustainable (c.f. Long-term potential yield).",IOTC science glossary,,,,,,,,,,,,,,,
Medium-scale fisheries*,,"Fish is caught in areas beyond national jurisdiction (ABNJ) of the flag state, by vessels with a length overall less than 24 m, and sold at landing sites, at markets, to processing factories",fishery types code list,the medium scale fishery is generally understood to be a fishery undertaken by powered boats and with small or medium size capital,FAO terminology portal,need to pick one?,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Meridians,,"Imaginary lines that run from the North Pole to the South Pole, connecting points of equal longitude and used to measure longitude east or west of the Prime Meridian",IHO terminology,,,,,TRUE,TRUE,,,,,,,,,
Medium Frequency Radio,MF radio,A radio communication system operating in the medium-frequency band (300 kHz-3 MHz) that provides medium-range voice and digital communications for maritime safety and operational purposes.,IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Migration,,"Non-random movement of individuals of a stock from one place to another, often in groups.",IOTC science glossary,,,,,,,,,,,,,,,
Minimum size,,"Size below which a captured animal may not legally be retained. Usually specified by species. May be varied as a
management tool.",IOTC science glossary,,,,,,,,,,,,,,,
Minor line,,"Refer to several line-fishing methods, including trolling or fishing using a rod and reel, handline, or pole-and-line.",IOTC science glossary,,,,,,,,,,,,,,,
Mode; modal size,,See Length-frequency distribution.,IOTC science glossary,,,,,,,,,,,,,,,
Model (population),,"Hypothesis of how a population functions; often uses mathematical descriptions of growth, recruitment and
Mortality.",IOTC science glossary,,,,,,,,,,,,,,,
Monsoon,,"Seasonal reversal in the prevailing wind direction and weather. A warm air mass with low pressure at the surface forms over the continent as it is warmed by the sun. Air from the relatively cooler and higher pressure air mass over the ocean then flows toward the low pressure over land. In winter this process is reversed as the air over the land becomes cooler, developing into a high pressure and winds blow off-shore towards the low pressure caused by the relatively warmer ocean. These conditions also influence the strength and direction of coastal currents",Based on WMO terminology,,,,,,TRUE,,,,,,,,,
Mortality,,Deaths from all causes (usually expressed as a rate or as the proportion of the stock dying each year).,IOTC science glossary,,,,,,,,,,,,,,,
MULTIFAN-CL,,"A length-based, age-structured model for stock assessment of fisheries.",IOTC science glossary,,,,,,,,,,,,,,,
Multiple random sampling*,,,reference,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
National jurisdiction areas,,Maritime areas over which a coastal State exercises sovereignty or sovereign rights and jurisdiction in accordance with international law.,UN definition (UNCLOS),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
National jurisdiction areas and beyond,,"Maritime areas that are either under the sovereignty or jurisdiction of a coastal State, or outside the jurisdiction of any State, as defined under international law.",UN definition (UNCLOS),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Nautical twilight,,"The period when the centre of the Sun is between 6° and 12° below the horizon, during which the horizon is still visible at sea and stars suitable for celestial navigation become visible.",NOAA,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
NAVTEX,,"An automated maritime information service that broadcasts navigational and meteorological warnings, forecasts, and urgent safety information to ships using narrow-band direct-printing radio communication",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Net drum hauler*,,,,,,,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Net tonnage,,Dimensionless measure of the useful capacity of a ship,Thermes et al. 2023 (https://www.fao.org/fishery/en/publications/278529),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Nominal catches,,"officially declared aquatic organisms captured during fisheries and expressed as live weight equivalent. Nominal catches do not include unreported catches, such as unreported discards",Eurostat (https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Nominal_catch),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Non-target species,,species for which the fishing gear is not specifically deployed or set,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Observer,,"means a person who collects information on board fishing vessels, in the framework of observer programs, and can be used inter alia for monitoring fishing activities, quantifying species composition of target species and bycatch",Resolution 25/06,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Offal,,the viscera and trimmings of a butchered animal removed in preparing it for market or for consumption,Webster dictionary definition,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Onboard interface/screen*,,"An on-board screen, or equivalent interface, to allow verification by the Master/crew of the correct functioning of the system is required (OR) The onboard interface shall include an on- board screen, or equivalent interface, to allow verification by the skipper/crew on correct functioning of EM equipment.",EM workshop standards,,,,not really a definition. More applied,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Operational buoy,,"any instrumented buoy, previously activated, switched on and deployed at sea on a drifting FAD or log",(Res. [19/02](https://iotc.org/cmm/resolution-1902-procedures-fish-aggregating-devices-fads-management-plan)),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Pelagic,,inhabiting surface waters rather than the sea floor. Usually applied to free-swimming species such as tunas and sharks,data reporting guidelines,"Relating to, living or occurring in the open sea.",FAO terminology portal,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Pole-and-line fishing,,"a fishing technique in which surface schooling fish are attracted to the vessel and driven into very active feeding behaviour by throwing live or dead bait into the water and spraying water onto the sea surface to simulate the escape behaviour of small preys. The fish lured with a line and a hook attached to a pole and pulled off the water by manual or powered devices,Pole-and-line fishing",([FAO fishery glossary](https://www.fao.org/faoterm/en/)),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,
Pole-and-lines,,"consists of a hooked line attached to a pole. This method is common to sport fisheries (angling) but it is also used in commercial fisheries. Fishing rods/poles are made of wood (including bamboo, also constructed of split cane) and increasingly of fiberglass",IOTC data catalogue fishery categories,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,
Pool of observers,,means a list of IOTC recognised observers that have been allocated an IOTC registration number and trained according to IOTC standards who may be called upon by other flag States,IOTC Resolution 25/06,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Port,,"A place on the coast or shore where vessels can enter, anchor, load, unload cargo or catch, receive services, and carry out other maritime activities",IMO term,,,,,TRUE,TRUE,,,,,,,,,
Port of registration,,The port recorded in a vessel's registration documents as the official port associated with the vessel's registration under its flag State,IMO term,,,,,TRUE,TRUE,,,,,,,,,
Power block,,"A mechanized pulley used to haul in nets, purse seine, etc.",FAO terminology ,,,,,TRUE,TRUE,,,,,,,,,
Purse line*,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,
Purse seine,,"nets characterized by the use of a purse line at the bottom of the net. The purse line enables the net to be closed like a purse and thus retain all the fish caught. The purse seines, which may be very large, are operated by one or two boats. The most usual case is a purse seine operated by a single boat",FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
Purse seine bunt*,,,,,,to define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
Purse seine tackle*,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,
Purse seining,,"harvesting of surface-schooling pelagic fish by surrounding the school with a net. A line that passes through rings on the bottom of the net can be tightened to close the net so that the fish cannot escape,Purse seining",IOTC glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
Radar,,short for radio detection and ranging. A system of detecting and locating targets which are capable of reflecting high frequency radio waves ,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Retained catches,,estimated component of the catch which is retained on board during a fishing trip,([CWP](https://www.fao.org/cwp-on-fishery-statistics/handbook/capture-fisheries-statistics/catch-and-landings/en/)),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Review for data quality,,"the verification process of re- analysing/interpreting a portion of previously analysed EM records to determine completeness, adherence to protocols",EM workshop-WCPFC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Ring nets,,"a ring net is a net the form of which is intermediate hybrid between a purse seine and a lamapara net: like on a purse seine, rings at the lower edge of the net, allow using a purse line to close it under the fish (pursing) and like on a lampara net",gear code lists,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Round weight,,weight of the whole fish before processing or removal of any part,([FAO fishery glossary](https://www.fao.org/faoterm/en/)),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Rudder,,A movable vertical control surface fitted at the stern of a vessel that is used to steer the vessel by changing the direction of water flow passing around it.,IMO terminology,,,,,,TRUE,,,,,,,,,
Search and Rescue Transponder,SART,"A radar transponder carried by survival craft or vessels that responds to search radar signals by transmitting a series of pulses, allowing rescuers to locate survivors during search and rescue operations.",IMO terminology,"These devices may be either a radar-SART (Search and Rescue Transponder), or an AIS-SART (AIS Search and Rescue Transmitter) are used to locate survival craft or distressed vessels by creating a series of dots on a rescuing ship's 3 cm radar display",observer manual 2019,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Scupper,,"An opening, drain, or passage through a vessel's bulwark, deck, or side that allows water accumulated on deck to drain overboard.",IACS term,,,,,,TRUE,,,,,,,,,
Semi-industrial fishery,,"Fishery that (i) catches fish from medium- (and/or small-) sized vessels fitted out with mechanised methods of operating the fishing gear, (ii) process the catch in land bases, and (iii) distributed the fish and fish products around a limited area, and in exceptional cases only for export. These activities are aimed at the financial benefit of the companies or organisations operating the fishing vessels, processing plants",Thermes et al. 2023 (https://www.fao.org/fishery/en/publications/278529),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Semi-industrial fishing vessel,,"medium-sized vessel, typically of 12 m in length but less than 24 m in length, engaged in catching operations",Thermes et al. 2023 (https://www.fao.org/fishery/en/publications/278529),commercial fishing vessel of length overall comprised between 15 and 24 m and exclusively operating in the exclusive economic zone of the flag state,([IOTC-2023-WPDCS19-07_Rev1](https://iotc.org/documents/WPDCS/19/07)),,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sensors ,,"EM systems may be equipped with a variety of integrated sensors that can provide additional information on fishing activity, trigger activation or adjustment of configurations of cameras",EM workshop,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Set gillnets,,"a set gillnet is a long rectangular netting anchored or otherwise fixed to the seabed to catch fish when they come in contact with it. The set gillnet is held open vertically in the water by a headrope usually with floats, and by a footrope weighted with sinkers. Floatation and weight may be built into ropes, which are usually called floatrope and leadrope respectively. The net is kept in position by anchors or other weights, usually at both ends",IOTC reference fish categories,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Set longline,,A longline gear that is anchored or otherwise fixed to the seabed at either end of the mainline.,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Shallow setting*,,the gear is deployed at a shallow depth,gear configuration code lists,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Shark line,,"A section of fishing line made from material resistant to shark bites, such as wire or other strong materials, used to reduce the likelihood of sharks biting through the lin",,,,To check with Lauren/Cynthia,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sinker,,a weight used to sink a fishing line or net,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Size frequency,,the number of individuals in a catch or catch sample in each group of sizes (size intervals),IOTC data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Skiff*,,,,,,,,,TRUE,,,,,,,,,
Small-scale fishery*,,"Fishery characterised in most cases by fishing vessels with non-mechanized propulsion systems (sails and oars) or low-horsepower outboard or inboard engines, use of passive fishing methods, manual operation of fishing gear (setting, shooting and hauling) and the absence of electronic fish-finding and navigational devices ([Tietze et al. 2000](https://www.fao.org/3/x8294e/X8294E00.htm)). From a socio-economic perspective, small-scale fisheries can be broadly categorised as a dynamic and evolving sector employing labour intensive harvesting, processing and distribution technologies to exploit marine and inland water fishery resources. The activities of this sub-sector, conducted full-time or part-time, or just seasonally, are often targeted on supplying fish and fishery products to local and domestic markets",IOTC data reporting guidelines,,,I think we need a more relevant definition,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
Sonar,,"an apparatus that uses sound waves to detect objects underwater by measuring or classifying the echoes received from them. An echo sounder is a sonar that transmits vertically. In practice, a sonar is an apparatus other than an echo sounder, i.e.",FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Species of special interest,,"Species of Special Interest include all marine turtles, all marine mammals, all seabirds, shark species with a retention ban: whale sharks (Res 13/05), oceanic white tip sharks (Res 13/06) and thresher sharks (Res 12/09.); and billfish species included in Res 18/05: striped",Adapted from IOTC resolutions,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Standard length,,The length of fish measured in a straight line from the tip of the snout to the end of the caudal skeleton,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Starboard,,The right-hand side of a vessel when facing forward (towards the bow).,IMO terminology,,,,,,TRUE,,,,,,,,,
Stow nets,,"A stow net is a stationary gear made from netting, usually in the form of a cone or pyramid. Stow nets can be fixed for a long time at the same place in rows. These nets are fixed by means of anchors or stakes, placed according to the direction and strength of the current. The mouths are sometimes held open by a frame",IOTC Reference Data Catalogue ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Stratified sampling,,"A sampling method in which the population or catch is divided into predefined, mutually exclusive strata, from each of which samples are selected separately",,,,,"Code list ""Biological Sampling Method""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Streamer lines,,"Lines fitted with streamers that are towed from a fishing vessel to deter seabirds from approaching baited hooks or fishing gear and reduce seabird interactions. Synonym to ""Tori lines""",IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Subsistence fishery,,"Fish is caught in national jurisdiction areas (NJA) of the flag state, by vessels with a length overall of less than 15 m",IOTC Reference Data Catalogue ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Sub-surface setting,,The gear is deployed beyond the surface of the water,IOTC Reference Data Catalogue ,,,need to define what is meant by surface,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Superstructure,,A decked structure on the upper part of a vessel that extends above the main deck and is enclosed by side plating or bulkheads.,IMO term,,,,,,TRUE,,,,,,,,,
Supply vessel,,"Any vessel used, equipped to be used or intended to be used for purse seine fishing related activities, including any vessel, other than a craft, carried on board a fishing vessel that is not equipped with operational fishing gear and that facilitates. Synonym to ""Support vessel""",IOTC-2025-CoC22-11_Add4-IOTC Glossary,"Non-fishing vessel supporting fishing operations and in particular assisting purse seine fishing vessels in the location of tuna schools and in the the deployment, monitoring and retrieving of buoys and drifting fish aggregating devices. Synonym to supply vessel",IOTC data reporting guidelines,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
Support vessel,,"Any vessel used, equipped to be used or intended to be used for purse seine fishing related activities, including any vessel, other than a craft, carried on board a fishing vessel that is not equipped with operational fishing gear and that facilitates. Synonym to ""Supply vessel""",IOTC-2025-CoC22-11_Add4-IOTC Glossary,Fishing support vessels receive the catch of fishing vessels and supply vessels that bring fuel and provisions to fishing vessels,FAO terminology portal,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
Surface fishery,,"All fisheries operated by vessels in the IOTC Record of Authorized Vessels other than longline fisheries; in particular purse seine, pole-and-line, gillnet fisheries",IOTC Reference Data Catalogue ,0,(Res. [15/02](https://www.iotc.org/cmm/resolution-1502-mandatory-statistical-reporting-requirements-iotc-contracting-parties-and)),,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,
Systematic proportional sampling,,"Individuals are selected systematically, with sample sizes proportional to the abundance of species or catch components in the catch",IOTC Reference Data Catalogue ,,,,"Code list ""Biological Sampling Method""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Target species,,Species that are primarily sought in a particular fishery and are the subject of directed fishing effort. There may be primary and secondary target species,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Tonnage,,A measure of the size or capacity of a ship,Thermes et al. 2023 (https://www.fao.org/fishery/en/publications/278529),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Tori lines,,"Lines fitted with streamers that are towed from a fishing vessel to deter seabirds from approaching baited hooks or fishing gear and reduce seabird interactions. Synonym to ""Streamer lines""",IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
Track plotter,,"A device or software tool used to display, record, or plot the movement of a vessel over time, based on its geographical positions",IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Trawl,,"A trawl is a cone-shaped net (made from two, four or more panels) which is towed, by one or two boats, on the bottom or in midwater (pelagic). The cone-shaped body ends in a bag or coded. The horizontal opening of the gear while it is towed is maintained by beams, otter boards or by the distance between the two towing vessels (pair trawling). Floats and weights and/or hydrodynamic devices provide for the vertical opening. Two parallel trawls might be rigged between two otter boards (twin trawls). The mesh size in the codend or special designed devices is used to regulate the size and species to be captured",IOTC Reference Data Catalogue ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Trolling line,,"A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber",IOTC Reference Data Catalogue ,A line with one or more baited hooks (or lures) towed behind a boat,FAO terminology portal,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Unfit for human consumption,,"Fish that are not suitable for human consumption because they have been meshed or crushed in the purse seine, damaged due to depredation, or have died and spoiled in the net following a gear failure that prevents normal retrieval of the net and catch and efforts to release the fish alive. This does not include fish considered undesirable in terms of size, marketability, or species composition, or fish spoiled or contaminated as a result of an act or omission of the fishing vessel crew",IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Uninterruptable power supply,UPS,Provides power to the system and enables controlled shutdown in the event of a power loss so as to preserve the security and integrity of data 1,EM workshop-WCPFC term only,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Upper-jaw fork length,FL,Straight distance between the tip of the upper jaw and the fork of the tail,IOTC Reference Data Catalogue ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Electronic monitoring user interface,,A display that communicates electronic monitoring system status messages and provides views of onboard cameras,EM workshop-WCPFC term only,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Vertical lines,,A vertical line consists of a line to which is attached sinker and one or several hooks. In commercial fisheries the lines have usually several hooks. The additional hooks can be fixed on the mainline at short intervals with branch lines of a certain length. The line weighed down by sinkers can be set up to 200 m depth and is hauled with jerky movements,IOTC Reference Data Catalogue ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Vessel name,,The name by which a vessel is officially registered or identified by the relevant authority,"Adapted from FAO, Manual on sample-based data collection for fisheries assessment",,,,,TRUE,TRUE,,,,,TRUE,,,,
Vessel monitoring plan,,The vessel's Electronic Monitoring (EM) equipment characteristics and how the vessel's EM equipment is installed and configured to monitor fishing activities and meet the EM Programme and EM Data Standards as required by the IOTC Regional Electronic Monitoring,EM workshop,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Vessel monitoring system,,A secure satellite-based monitoring system capable of transmitting the position and identity of vessels to the competent authorities,IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Vessel operator,,"Any person who is in charge of, directs or controls a vessel",EM workshop-WCFPC term only,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Vessel registration number,,"A unique identifier assigned to a vessel by the authority with which the vessel is registered, used to identify the vessel within the relevant vessel registration system or registry ","FAO, Manual on sample-based data collection for fisheries assessment, Section 5.8.9 ""Form 8: Vessel Registration",,,,,,,,,,,,,,,
Very high frequency radios,VHF,"A marine radio communication system that operates in the very high frequency band (30-300 MHz), commonly used for short-range voice communication between vessels, shore stations, and maritime safety services",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Vessel Monitoring System,VMS,A satellite-based monitoring system which at regular intervals provides data to fisheries authorities on the location,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Winch (and seine arrow),,"A powerful machine with one or more drums on which to coil a rope, cable, or chain for hauling or hoisting",Webster dictionary definition,,,,,TRUE,TRUE,,,,,,,TRUE,,
Expendable Bathythermograph,XBT,"A small, single-use probe dropped from a moving ship to measure ocean temperature down the water column",,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
